CD_SETOR,CEP
355030801000100,03184-060
355030801000100,03184-070
355030801000100,03189-080
355030801000103,03181-020
355030801000104,03173-010
355030801000104,03179-080
355030801000104,03179-110
355030801000104,03179-120
355030801000104,03179-130
355030801000104,03179-140
355030801000104,03179-150
355030801000104,13179-150
355030801000105,03304-040
355030801000106,03333-030
355030801000106,03336-130
355030801000107,03180-003
355030801000107,03184-100
355030801000108,03183-001
355030801000108,03184-010
355030801000108,03184-020
355030801000108,03184-090
355030801000109,03163-002
355030801000109,03180-001
355030801000109,03180-060
355030801000109,03180-070
355030801000109,03183-010
355030801000109,03183-120
355030801000110,03165-003
355030801000110,03165-050
355030801000110,03165-060
355030801000110,03181-001
355030801000110,03181-050
355030801000110,03181-060
355030801000110,03181-070
355030801000110,03181-080
355030801000110,03181-090
355030801000111,03172-020
355030801000111,03180-140
355030801000111,03180-150
355030801000111,03180-160
355030801000111,03180-170
355030801000111,03181-040
355030801000111,03181-110
355030801000111,03181-120
355030801000112,03179-020
355030801000112,03179-090
355030801000112,03179-100
355030801000113,03175-050
355030801000113,03175-060
355030801000113,03179-010
355030801000113,03179-030
355030801000113,03179-040
355030801000114,03157-050
355030801000114,03331-010
355030801000114,03331-015
355030801000114,03331-020
355030801000114,03331-030
355030801000115,03304-090
355030801000115,03331-001
355030801000115,03332-070
355030801000115,03332-080
355030801000115,03333-010
355030801000116,03333-020
355030801000116,03334-060
355030801000116,03334-070
355030801000117,03334-050
355030801000118,03332-000
355030801000118,03334-030
355030801000122,03175-070
355030801000122,03175-080
355030801000122,03179-070
355030801000122,03330-000
355030801000122,03330-020
355030801000122,03330-030
355030801000122,03330-040
355030801000124,03185-040
355030801000125,03343-010
355030801000127,03343-030
355030801000127,03348-040
355030801000128,03189-060
355030801000130,03181-010
355030801000130,03181-030
355030802000001,05442-001
355030802000001,05449-010
355030802000001,05449-040
355030802000001,05449-080
355030802000001,05449-100
355030802000001,05449-120
355030802000001,05450-001
355030802000001,05450-020
355030802000001,05450-030
355030802000002,05447-050
355030802000002,05447-090
355030802000002,05447-130
355030802000002,05447-150
355030802000002,05447-160
355030802000002,05447-180
355030802000004,05446-040
355030802000004,05447-070
355030802000004,05447-080
355030802000004,05447-170
355030802000006,05453-000
355030802000006,05453-030
355030802000006,05453-050
355030802000006,05454-000
355030802000006,05454-020
355030802000006,05454-120
355030802000006,05455-001
355030802000006,05455-050
355030802000012,05447-010
355030802000012,05447-040
355030802000012,05448-010
355030802000014,05446-000
355030802000014,05446-010
